student_id,name,city,subject,score
1,Alice,Kathmandu,Math,95
1,Alice,Kathmandu,Science,88
2,Bob,Pokhara,Math,76
2,Bob,Pokhara,English,82
3,Charlie,Kathmandu,Science,91
3,Charlie,Kathmandu,Math,89
4,David,Butwal,English,67
4,David,Butwal,Science,72
5,Emma,Pokhara,Math,98
5,Emma,Pokhara,Computer,93
6,Frank,Biratnagar,Computer,85
6,Frank,Biratnagar,Math,78
7,Grace,Butwal,Science,90
7,Grace,Butwal,English,86
8,Henry,Kathmandu,Computer,94
8,Henry,Kathmandu,Math,81
9,Isabella,Biratnagar,English,79
9,Isabella,Biratnagar,Science,87
10,Jack,Pokhara,Math,92
10,Jack,Pokhara,Computer,88
